,texto,polaridad
552,Es un paquete total.,positivo
505,Yo no recomendaría este lugar.,negativo
965,La increíble banda sonora captura verdaderamente la esencia de la película.,positivo
943,Los estoy devolviendo.,negativo
816,La comida era terrible.,negativo
263,"Conceptualmente, el programa ofrece un poco de todo, y para casi todos (padres, niños, fans de fantasía y / o de fx).",positivo
245,-Las bebidas tardaron cerca de 30 minutos en salir en un punto.,negativo
626,La mejor de las suertes a la nueva administración centrada en el servicio grosero y no al cliente.,negativo
733,"En general, me gusta la comida y el servicio.",positivo
795,Perfecto para la PS3.,positivo
495,"Y me olvidé: el Elenco aquí es excelente, con Trond Fausa Aurvåg siendo perfecto en el papel de Hombre Loco, que no entiende dónde está, qué está haciendo y por qué.",positivo
51,Buena protección y no hace que el teléfono sea demasiado voluminoso.,positivo
910,Dudo mucho que a nadie le guste esta basura.,negativo
384,Ayuda mágica.,positivo
420,Simplemente sopló.,negativo
897,El hecho es que esta película es una historia maravillosa y conmovedora sobre dos personas que persiguen sus sueños.,positivo
83,"En general, la película es interesante y estimulante.",positivo
595,"Fácilmente, ninguna otra caricatura me hizo reír de una manera tierna (antes de meterme en comedias oscuras orientadas para adolescentes).",positivo
928,"No somos los que hacemos una escena en los restaurantes, pero simplemente no lo entiendo ... ¡definitivamente perdí el amor después de este!",negativo
35,"Como dicen en Canadá, este es el juego divertido, sí. 1",positivo
576,"Me acerqué para intentarlo, pero me decepcionó profundamente.",negativo
16,Muy recomendable.,positivo
915,Lo único de lo que no estaba tan loco fue su guacamole ya que no me gusta puré.,negativo
378,"Borrar llamadas de Skype, batería de larga duración, largo alcance.",positivo
537,"dejando la tarjeta de la carrera a un lado, echemos un vistazo a la falla principal en la película: destruyen el personaje de latifa.",negativo
878,Ella está preparada y es increíble.,positivo
77,Este es un gran artículo pequeño,positivo
228,"En cuanto a los ""principales"", también sin inspiración.",negativo
596,Llegué a casa para ver las alas más secas jamás!,negativo
826,"La película merece un gran reconocimiento por tomar esta posición, por tener una actuación excepcional de su elenco menos conocido y por el guión súper inteligente que no insulta a la audiencia ni toma el camino fácil cuando se trata del racismo blanco.",positivo
503,El ambiente era increíble.,positivo
661,"Se debe hacer una mención especial a la excelente música y los efectos de sonido, que son un elemento integral para ayudar a hacer de esta una historieta tan memorable y agradable.",positivo
552,Recomendaría ahorrar espacio para esto!,positivo
538,No hay una trama real.,negativo
133,¡Definitivamente lo recomiendo!,positivo
137,"Las calificaciones de IMDB solo bajan a 1 por horrible, es hora de obtener algunos números negativos allí para casos como estos.",negativo
275,El enchufe reversible funciona muy bien.,positivo
66,"Una semana después de que lo activé, de repente murió.",negativo
3,Me detuve durante las vacaciones de fines de mayo a las recomendaciones de Rick Steve y me encantó.,positivo
397,"Desafortunadamente, 'Cover Girl' es un ejemplo de cómo Hollywood solía explotar a las mujeres para obtener ganancias financieras.",negativo
668,"El propietario solía trabajar en Nobu, por lo que este lugar es realmente similar por la mitad del precio.",positivo
891,"Se adapta cómodamente, viene con tres tamaños de puntas de auriculares.",positivo
170,También pedimos la ensalada de espinacas y aguacate	 Los ingredientes estaban tristes y el aderezo literalmente no tenía sabor.,negativo
979,"Seguí mirando la hora y pronto se había convertido en 35 minutos, pero aún no había comida.",negativo
529,(Spoilers muy serios) esta película fue una gran decepción.,negativo
652,No tenga miedo de los subtítulos ... vale la pena un poco de terapia de aversión 10/10,positivo
798,La comida mediocre.,negativo
863,Me encantan sus papas fritas y sus frijoles.,positivo
453,Estaba tan insultada,negativo
387,El mejor teléfono del mercado :).,positivo
419,"Nuestro servidor fue muy agradable, y aunque se veía un poco abrumado con todas nuestras necesidades, se mantuvo profesional y amable hasta el final.",positivo
223,Esta es una película fría y sin complicaciones sobre un autor que vive / trabaja en una cultura abstrusa fría.,negativo
295,"Su uso de los colores de la bandera francesa en las tres películas fue increíble, cada disparo, cada escena era como una obra de arte.",positivo
109,¡Qué bueno!,positivo
884,Esta es probablemente una de las películas menos efectivas y absolutamente poco originales que he visto en toda mi vida.,negativo
700,"Los chips que salieron goteaban grasa, y en su mayoría no eran comestibles.",negativo
792,Gran teléfono,positivo
303,Buen precio.,positivo
211,"Si odias los auriculares, evita este teléfono por todos los medios.",negativo
737,"El sitio web tracfone es fácil de usar y hace que sea fácil de activar, etc.",positivo
157,Pedí la pasta Voodoo y fue la primera vez que comí una pasta excelente desde que comí sin gluten hace varios años.,positivo
633,Pollo de alta calidad sobre la ensalada César de pollo.,positivo
840,Tomaría mucho tiempo describir lo mala que ha sido mi experiencia de servicio al cliente con Amazon.,negativo
985,Aún así es bastante interesante y entretenido de seguir.,positivo
321,Pedí este producto primero y no estaba contento con él inmediatamente.,negativo
31,"Este producto es ideal para personas como yo, cuyas orejas son muy sensibles.",positivo
26,- Nunca trajeron una ensalada que pedimos.,negativo
938,Logitech Bluetooth Headset es un 10 !.,positivo
274,Los cocineros eran amables e hicieron un buen trabajo.,positivo
577,Esa compañía es una broma.,negativo
935,"Sin embargo, después de aproximadamente un año, la tapa de la plataforma comenzó a aflojarse y tambalearse y, finalmente, mi pantalla se volvió negra y no pude recibir ni hacer llamadas.",negativo
695,NO compre si quiere usar la funda.,negativo
825,"Es bastante sorprendente que esta maravillosa película se hiciera en 1949, ya que Hollywood en general tenía sus cabezas colectivas en la arena sobre temas en blanco y negro en ese momento.",positivo
476,"Incómodo en el oído, no lo use con LG VX9900 (EnV).",negativo
390,"Aunque The Wind and the Lion se dice en gran parte a través de los ojos del hijo, cada miembro de la familia puede identificarse con uno de los personajes, ya sea el noble bandolero de Sean Connery, la heroína luchadora de Candace Bergen, el astuto John Hay de John Huston o Steve Kanaly. Spiffy, radiante, despiadado teniente, el palo grande de Roosevelt.",positivo
4,La mejor escena de la película fue cuando Gerardo está tratando de encontrar una canción que sigue corriendo por su cabeza.,positivo
668,Mucho menos que la mandíbula con la que iba a reemplazarlo.,positivo
792,Pagar $ 7.85 por un hot dog y papas fritas que parecen salidos de una comida para niños en el Wienerschnitzel no es mi idea de una buena comida.,negativo
332,"Tuvimos un servicio fantástico, y quedamos encantados con el ambiente.",positivo
125,10/10,positivo
758,El tocino jalapeño es tan bueno.,positivo
222,Mishima es extremadamente poco interesante.,negativo
148,Le doy 2 pulgares hacia abajo,negativo
793,El clásico Maine Lobster Roll fue fantástico.,positivo
937,"El auricular cumple mis requisitos, por lo que estoy satisfecho con mi compra.",positivo
177,"Puse el último sistema operativo en él (v1.15g), y ahora le gusta reducir la velocidad de rastreo y bloquearse de vez en cuando.",negativo
778,El resultado es una película que simplemente no se ve bien.,negativo
483,La selección de comida no era la mejor.,negativo
763,Me gustó la forma en que el personaje de Dustin Hoffman estaba listo para hacer casi todo para quedarse con su hijo.,positivo
669,La instalación fue muy fácil.,positivo
232,No desperdicies tu dinero en esto.,negativo
304,"Su actuación, según lo premiado, fue impactante.",positivo
198,El estuche de cuero no encaja.,negativo
497,"Esta fue mi primera experiencia de cangrejo, ¡y estuvo deliciosa!",positivo
658,Hable acerca de servicio al cliente sin uso.,negativo
907,Las papas fritas y sals a aquí es increíble !!!!!!!!!!!!!!!!!!!,positivo
729,"En cuanto al servicio, me pareció bueno.",positivo
290,"Esperamos 2 horas y nunca conseguimos ninguna de nuestras pizzas, como lo hicieron muchos otros que vinieron más tarde que nosotros.",negativo
329,"Cuando mi madre y yo llegamos a casa, inmediatamente se enfermó y solo comió unos cuantos bocados de ensalada.",negativo
717,"Desafortunadamente, no recargará mi iPhone 4s, a pesar de conectarlo desde múltiples fuentes de alimentación (iMac, batería externa, toma de pared, etc.).",negativo
310,Comida fantástica!,positivo
316,"A estas alturas, mis amigos y yo básicamente habíamos descubierto que este lugar era una broma y no nos importaba darlo a conocer públicamente y en voz alta.",negativo
34,Hoy los gráficos son una mierda. 0,negativo
981,Lo sigo viendo una y otra vez.,positivo
245,"La película carece de interés visual, drama, expresión de sentimientos y celebración del patriotismo que subraya la narrativa.",negativo
131,Hubo varios momentos en la película que simplemente no necesitaban estar allí y que eran extremadamente lentos.,negativo
47,"El único trabajo de efectos real es la presencia de todos los animales, y la integración de estos en las escenas es uno de los peores y más obvios trabajos de pantalla azul / verde que he visto. 0",negativo
23,Podría importarme menos ... El interior es simplemente hermoso.,positivo
177,La historia está más allá de la estupidez.,negativo
841,la única cosa MUY decepcionante fue que NO HABÍA ALTAVOZ !!!!,negativo
454,"No esperaba material de Oscar, pero esto?",negativo
863,"Pero, Kevin Spacey es un excelente tsunami verbal como Buddy Ackerman y es totalmente creíble porque es un gran actor.",positivo
182,Me vestí para ser tratado tan groseramente!,negativo
284,"Sin duda recomendaría las alas, así como la pizza.",positivo
88,¡El producto fue excelente y funciona mejor que el de Verizon y Boy fue más barato!,positivo
233,"Woa, habla de horrible.",negativo
98,No era bueno.,negativo
319,Y realmente los encontré graciosos.,positivo
634,Hamburguesa ordenada rara vino en que hemos hecho.,negativo
515,Las herramientas del teléfono móvil son una necesidad.,positivo
179,Los niños son molestos.,negativo
287,Pedazo de basura.,negativo
641,Es una especie de película de campiña que es una alegría ver.,positivo
998,"Toda la experiencia fue decepcionante, y creo que la próxima vez iremos a Ninja Sushi.",negativo
30,"También hay combos como una hamburguesa, papas fritas y cerveza para 23, que es un trato decente.",positivo
691,"Probablemente no vuelva, para ser honesto.",negativo
754,"Lo principal que no disfruté es que la multitud es de gente mayor, de alrededor de 30 años en adelante.",negativo
813,Los Jabra EarGels se adaptan muy bien a mis oídos.,positivo
828,Juano Hernández (un actor excepcional que desempeñó papeles secundarios en muchas películas de la época) es un hombre negro orgulloso que está acusado de asesinar a un hombre blanco en el sur.,positivo
913,"Así que estoy aquí para advertirte: NO ALQUILES ESTA PELÍCULA, ¡es la cosa más tonta que nunca has visto!",negativo
742,"No estoy seguro de cuánto tiempo estuvimos allí, pero fue suficiente para que empezara a sentirme incómodamente fuera de lugar.",negativo
293,Kieslowski nunca deja de sorprenderme.,positivo
994,Nunca salí de una película más rápido.,negativo
545,Inteligente y un verdadero placer para la multitud: esta película aún se encuentra entre las mejores películas de Mickey incluso después de 80 años maravillosos.,positivo
27,Este es el mejor juego de TH número uno en la serie. 1,positivo
337,Muy decepcionante.,negativo
57,Totalmente creíble. 1,positivo
622,El pollo asado era tan tierno y amarillo del condimento de azafrán.,positivo
864,"Pero, en cualquier caso, lo mejor es que puede descargar estas imágenes a su computadora portátil mediante IR, o incluso enviarlas desde su computadora portátil al teléfono.",positivo
606,Fue increible,positivo
980,"He estado en muy pocos lugares para comer que bajo ninguna circunstancia me gustaría volver, y esto encabeza la lista.",negativo
297,Me encanta el hecho de que todo en su menú vale la pena.,positivo
658,"Helen Baxendale es una dama muy creíble, Macbeth, que puede ser muy alegre a veces y, a veces, parece una niña traviesa, pero mortal en su gusto por la sangre y el mal.",positivo
580,Chico fue ese tonto seco !!.,negativo
206,"La cámara mega pixel de ""1.2"", que forma parte de un teléfono, es razonablemente buena7.",positivo
939,El paisaje que pintan y fotografían las dos hijas es hermoso.,positivo
61,"Con todo, le doy a este un rotundo 9 de cada 10. 1",positivo
939,"Me gusta el hecho de que descanse ligeramente contra tu oído, en lugar de dentro.",positivo
65,"Buena comida y servicio, raciones enormes y dan un descuento militar.",positivo
19,No me gustó en absoluto.,negativo
980,Problema de eco .... muy insatisfactorio,negativo
449,Realmente no hay nada malo que pueda decir sobre este auricular.,negativo
906,La línea de trazado secundaria es incomprensible y su relación con la línea de trazado principal es desconcertante.,negativo
147,Una película verdaderamente mala.,negativo
688,No puedo ver cómo esta película puede ser una inspiración para que cualquiera pueda salir o superar el miedo y el rechazo.,negativo
912,"Actuar es como ver marionetas de madera moverse y leer un libro, eso es lo malo que es.",negativo
865,Recomendaría este artículo.,positivo
355,"En el lado bueno, el personal fue realmente agradable y entusiasta, un verdadero placer.",positivo
871,Recibí mis auriculares a tiempo y me alegré.,positivo
212,¡Gran precio también!,positivo
836,Sólo almorcé aquí y tuve una gran experiencia.,positivo
185,Muy poco recomendado.,negativo
80,Me alegro de que esta pretenciosa pieza de mierda no funcionara según lo planeado por Dodge Stratus Big Shots ... Ayudará a los cineastas que no están en el muy restringido negocio cinematográfico de Quebec.,negativo
824,Incómodo de usar y poco fiable.,negativo
843,"El producto es inútil, ya que no tiene suficiente corriente de carga para cargar los 2 teléfonos celulares con los que planeaba usarlo.",negativo
853,El precio es razonable y el servicio es excelente.,positivo
346,Los niños son muy cool también.,positivo
32,Es inutilizable en un automóvil en movimiento a velocidad de autopista.,negativo
247,Bonitos auriculares por el precio y funcionan muy bien!,positivo
902,"En cuanto al asesino, no esperes nada original ni remotamente aterrador.",negativo
764,"¡¡¡Estoy tan feliz de estar aquí!!!""",positivo
283,Y ni siquiera me hagas empezar con el trabajo de la cámara.,negativo
131,El software acompañado es casi brillante.,positivo
853,Estos productos cubren el importante sensor de luz sobre la salida de la oreja.,negativo
27,No pensé que las instrucciones proporcionadas fueran útiles para mí.,negativo
500,Toda la audiencia aplaudió a la conclusión de la película.,positivo
937,No te molestes en venir aquí.,negativo
96,Volveremos de nuevo!,positivo
721,"Tan mediocre en todos los aspectos que simplemente se convierte en un desastre aburrido y sin interés, esta es una de las películas más olvidables que he visto.",negativo
325,Nunca lo olvidaré ahora.,positivo
742,"Una muy buena película, de verdad, sobre un gran amor incondicional.",positivo
512,El sonido es claro y las personas con las que hablo también están asombradas por la calidad.,positivo
222,"Sencillo, ligero y de gran ajuste.",positivo
276,Me gustó el patio y el servicio fue excepcional.,positivo
692,Sin duda volveremos!,positivo
961,"Ambos actores realmente entienden y se convierten en su personaje particular, ofreciendo un desempeño convincente y sincero.",positivo
72,"El resto de la película carece de arte, encanto, lo que significa ... Si se trata de vacío, funciona, supongo que está vacío.",negativo
39,Esta fue una película condenada desde su concepción. 0,negativo
338,"Dios mío, la comida estaba deliciosa!",positivo
86,La pobre proporción de masa por carne hizo que las ofertas de pollo fueran muy insatisfactorias.,negativo
194,"Pero aparte de eso, la película pareció arrastrarse y los héroes no trabajaron realmente por su libertad.",negativo
472,Decepción .. Odio todo lo que va en mi oído.,negativo
722,¡Este es simplemente el MEJOR auricular bluetooth para calidad de sonido!,positivo
32,Este es el tipo de dinero que se desperdicia adecuadamente. 1,positivo
551,Buen ambiente,positivo
385,No lo recomiendo a menos que su auto se rompa enfrente y usted se muera de hambre.,negativo
805,El único lugar bueno para esta película es en la basura.,negativo
941,Probablemente no tenga prisa por volver.,negativo
901,Éste simplemente no logra crear ningún suspenso real.,negativo
872,Me complació mucho ver que podía reemplazar mi funda giratoria de mi Blackberry.,positivo
797,Este lugar es genial !!!!!!!!!!!!!!,positivo
428,"Huelga 2, que quiere ser apresurado.",negativo
414,Puedo tomar un poco mal servicio pero la comida apesta.,negativo
426,"Todo en el teléfono funciona perfectamente, a ella le gusta.",positivo
376,Protege el teléfono por todos lados.,positivo
260,Espero que este lugar se mantenga alrededor.,positivo
382,El mismo problema que otros han mencionado.,negativo
429,Estos son los mejores dueños de restaurantes que he encontrado.,positivo
350,Fueron JERKS en el teléfono.,negativo
394,El servicio fue excelente y los precios son bastante razonables teniendo en cuenta que esto es Las Vegas y está ubicado dentro del centro comercial Crystals by Aria.,positivo
908,No volveremos,negativo
704,El cajero era amable e incluso me trajo la comida.,positivo
100,Integrado a la perfección con el teléfono Motorola RAZR.,positivo
14,"Esta es una película muy ""acertada"" que entrega todo casi en su cara.",positivo
514,Todo fue perfecto la noche que estuvimos.,positivo
26,He tenido este teléfono durante 7 meses y puedo decir que es el mejor teléfono móvil que he tenido.,positivo
858,"Si tomo una foto, la batería deja caer una barra y comienza a sonar, avisándome que está muerta.",negativo
165,¡¡DELICIOSO!!,positivo
975,Es el mejor cargador que he visto en el mercado hasta ahora.,positivo
362,"Es ligero, fácil de usar y tiene una recepción y transmisión muy claras.",positivo
660,Esto no se ajusta al Palm Tungsten E2 y se rompió la primera vez que intenté conectarlo.,negativo
14,"El diseño es muy extraño, ya que el ""clip"" de la oreja no es muy cómodo en absoluto.",negativo
190,El reemplazo murió en unas pocas semanas.,negativo
144,Este es definitivamente un clásico de culto que vale la pena ver y compartir con otros.,positivo
943,Ve a alquilarlo.,positivo
262,El ambiente del restaurante era exquisito.,positivo
712,Mala calidad.,negativo
414,La habría puesto en ese papel después de que esté listo el guión.,positivo
491,"Esta película crea su propio universo, y es fascinante en todos los sentidos.",positivo
373,"Supongo que se suponía que debía ser un giro inteligente, y luego arrojar algo de luz sobre la situación, pero fue estúpido.",negativo
401,Servicio muy rápido.,positivo
479,"Por supuesto, la actuación es bla.",negativo
339,No hay nada auténtico sobre este lugar.,negativo
336,"Primero, los baños en este lugar estaban sucios. ¡Las fundas de los asientos no se reponían y simplemente eran asquerosas!",negativo
466,"Fuera lo que fuera lo que buscaba el productor, se lo perdió por completo.",negativo
508,Genial ... no hay problema en absoluto !.,positivo
849,Compré dos de ellos y ninguno cobrará.,negativo
774,Los camareros de estilo son absolutamente increíbles!,positivo
440,Ambos hacen buenos trabajos y son bastante divertidos.,positivo
609,Se ajusta bien a mi oreja y es cómodo.,positivo
313,Nunca volveré.,negativo
399,Cocinado a la perfección y el servicio era impecable.,positivo
251,No hay nada privilegiado en trabajar / comer allí.,negativo
866,Ha sido mi auricular de elección durante años. Gran sonido	 buen volumen Buena cancelación de ruido.,positivo
451,La comida era tan buena.,positivo
503,No hubiera dado ninguna estrella si hubiera podido.,negativo
694,"Hawaiian Breeze, Mango Magic y Pineapple Delight son los batidos que he probado hasta ahora y todos son buenos.",positivo
506,En general no estaba muy impresionado con Noca.,negativo
671,Cruda y sublimemente conmovedora.,positivo
971,Producto excelente.,positivo
845,Este lugar no merece estrellas.,negativo
744,No volveré!,negativo
385,Las historias fueron exploraciones poderosas de la naturaleza del hombre y del arte.,positivo
180,"La hamburguesa no tenía ningún sabor, la carne en sí era totalmente insípida, la hamburguesa estaba recocida y no tenía sabor a carbón.",negativo
186,"Si esta premisa suena estúpida, eso es porque lo es.",negativo
461,Recomendaríamos estos a otros.,positivo
368,"El personal es estupendo, el ambiente es genial.",positivo
723,Es una cáscara vacía y hueca de una película.,negativo
584,Mejor de lo esperado.,positivo
44,Excelente auricular bluetooth.,positivo
513,"Conseguí la funda de aluminio para mi nuevo Palm VX y funcionó muy bien, hasta ahora ha protegido perfectamente mi computadora de mano.",positivo
537,"Pequeño, elegante, de aspecto impresionante, configuración práctica con amplio espacio de almacenamiento en su lugar.",positivo
328,Los ajustes de Malta son tan secos y estériles como el diálogo.,negativo
680,"Le di 5 estrellas entonces, y ahora le doy 5 estrellas.",positivo
696,El teléfono también puede tomar excelentes fotos e incluso videos.,positivo
486,"Tenían un tartar de toro con un cavier que era extraordinario y me gustó el wagyu con trufa blanca, en rodajas finas.",positivo
675,Una fantástica joya de barrio!,positivo
911,Esto no es hacer películas.,negativo
684,Este es definitivamente uno de los mejores documentales que he visto sobre las relaciones familiares y el matrimonio.,positivo
574,"Aparte de su terrible ventaja, esta película tiene muchos otros débitos.",negativo
171,"Así es como solía ser la buena comida en Las Vegas, hasta los menús que se entregaban a las damas que no tienen precios indicados.",positivo
550,"Me encanta la cámara, es de muy buena calidad.",positivo
74,Este es un hermoso teléfono.,positivo
958,Realmente me gusta este producto sobre el Motorola porque es más claro en el auricular y el micrófono.,positivo
812,"Cuando Achille y Philippa cantan bellamente un dueto de Don Giovanni que describe perfectamente su situación en la película, aprecias las capas sutiles de esta excelente película.",positivo
174,Esta película no tiene características redentoras.,negativo
158,Odio las películas así.,negativo
918,Funciona para mi.,positivo
279,Hay muchos lugares hermosos.,positivo
287,La actuación fue mala.,negativo
348,Es simplemente cojo.,negativo
697,Yo estaba mortificado.,negativo
623,"Además, en serio, no creo que valga la pena por su alto precio.",negativo
506,No recomendaría este artículo a nadie.,negativo
764,no funcionará bien o al menos para mí.,negativo
391,Continuaré viniendo aquí en la noche de damas y noche de dddd ... Recomiendo este lugar a cualquiera que esté en la zona (	,positivo
769,Nítido y claro.,positivo
724,"En el lapso de una hora, dos personas exclamaron: ""¿Quién es el nuevo teléfono en la TV?",positivo
498,Mala compra,negativo
886,El servicio fue extremadamente lento.,negativo
10,Y esos búhos bebés eran adorables.,positivo
729,Después de recibir y usar el producto por solo 2 días se rompió.,negativo
357,"No sé exactamente de qué se trata esta película, pero nos aferramos a esta película entrañable y se ha convertido en una parte especial de los recuerdos de nuestra familia.",positivo
21,"En otras palabras, el nivel de contenido de esta película es suficiente para llenar fácilmente una docena de otras películas. 1",positivo
683,Me encantan los tonos de llamada porque son muy optimistas!,positivo
191,"También es genial ver que la renombrada guionista silenciosa Frances Marion no ha perdido ni un solo paso, pasando del silencio al sonido.",positivo
229,Este es el lugar donde primero tuve pho y fue increíble!,positivo
29,Lo peor fue el sashimi de salmón.,negativo
175,"Tal vez los atrapé en una noche de descanso a juzgar por las otras críticas, pero no estoy inspirado para volver.",negativo
807,Edición: La edición de esta película fue fenomenal en mi opinión.,positivo
551,Gracias por tan gran servicio.,positivo
114,La dirección parece demasiado pretenciosa.,negativo
193,"Comí una ensalada con las alas, y un poco de helado para el postre y me fui bastante satisfecho.",positivo
454,Las últimas 3 veces que almorcé aquí ha sido mala.,negativo
930,Califico esta película 9/10.,positivo
802,"¡Gran precio, también!",positivo
369,"No me asustó, me horrorizó, ni me hizo simpatizar con los personajes	 era simplemente molesto.",negativo
304,Buen servicio-cheque!,positivo
582,El cine fue menos expansivo.,negativo
212," De hecho, es difícil recordar que la parte de Ray Charles está siendo actuada, y no interpretada por el hombre mismo.",positivo
63,Sin duda volveremos aquí de nuevo.,positivo
71,"- Realmente, realmente buen arroz, todo el tiempo.",positivo
348,Este pequeño dispositivo ha transformado mi capacidad organizativa y ha hecho mi vida mucho más fácil.,positivo
225,"Y el resto simplemente está allí sentado, siendo horrible ... con los soldados cantando canciones sobre la masculinidad a la que se comprometen, pelirrojas sobre la pureza, la admiración de las espadas, etc.",negativo
67,"Una película muy, muy, muy lenta, sin rumbo sobre un joven angustiado y distraído.",negativo
903,"Hay, sin embargo, bastante buena actuación (al menos, para este tipo de película).",positivo
94,Dile adiós a tu dama de punta!,negativo
644,Este lugar tiene mucha promesa pero no cumple.,negativo
566,"Los servidores iban y venían varias veces, ni siquiera como un ""¿Le están ayudando?""",negativo
359,Las cosas en las que se meten los cuatro niños son absolutamente divertidas de ver.,positivo
898,Muy poco profesional y grosero con un cliente leal!,negativo
33,"En realidad, los gráficos eran buenos en ese momento. 1",positivo
508,Servicio terrible!,negativo
866,"Muy recomendado para todas las edades, aunque el conjunto más joven probablemente no apreciará algunas de las referencias más sutiles, ¡sin duda apreciarán una escena de galera en particular!",positivo
437,"Pero la actuación, incluso la de profesionales como Drago y Debbie Rochon, fue terrible, la dirección fue peor (tal vez contribuyó a la anterior), el diálogo de chimpancé y el trabajo de cámara, apenas tolerable.",negativo
931,"No sé si este fue el debut como director de Emilio Estevez, pero el ritmo, la interacción y el desarrollo de los personajes, así como el trabajo de cámara inteligente que rodea al personaje que interpreta Estévez, sugieren un ojo natural.",positivo
220,"La trama simplemente retumba como una máquina, dependiendo desesperadamente de la adición de nuevas escenas.",negativo
180,No compre este producto.,negativo
206,No creo que haya visto una película tan aburrida como esta chatarra autoindulgente.,negativo
252,La banda sonora chupó.,negativo
333,Comencé a ver esto pero no creía en ninguno de los personajes.,negativo
743,"Cuando abrí el sándwich, me impresionó, pero no de buena manera.",negativo
944,La salsa de crema de anacardo era insípida y las verduras estaban poco hechas.,negativo
706,El ambiente aquí es divertido.,positivo
970,Lo conecté solo para descubrir que ninguna cosa funcionaba.,negativo
450,"Vaya, qué mala película.",negativo
543,"Sin embargo, después de ver el corto de nuevo después de unos 25 años, me sorprendió lo atemporal que es la película.",positivo
220,"El área de la ducha está afuera, así que solo puedes enjuagar, no tomar una ducha completa, ¡a menos que no te importe estar desnudo para que todos lo vean!",negativo
610,No pierdas el tiempo viendo esta basura no investigada.,negativo
332,¡Llamar a esta película un drama es ridículo!,negativo
303,Creo que fui una de las personas que encontró esta otra perla de Roth.,positivo
425,¡Sin quejas!,positivo
818,No hace el trabajo,negativo
283,Estoy muy impresionado con este auricular de Plantronics.,positivo
905,No es tan guapo como la imagen de AMAZON lo hace ver.,negativo
193,He tenido problemas con la señal de caída y más.,negativo
480,La actuación de todo el elenco se puede poner en una escala y equilibrar perfectamente entre sobreactuar y subactuar.,negativo
